GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFUNIXSocket.new AFSocket.Constructor() {...},0,12,0,0,0,2,0,2,0,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AncillaryDataSupport.new Closeable() {...},0,17,0,0,0,3,0,2,0,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSYSTEMSocketImplExtensions,9,0,0,0,3,0,2,0,2,0
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AddressUnavailableSocketException,7,0,0,0,4,0,2,0,2,0
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSocketPair,6,13,0,0,2,4,1,3,1,3
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,FileDescriptorCast.2.new FileDescriptorCast.CastingProvider() {...},0,10,0,0,0,2,0,2,0,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,HostAndPort,86,218,21,33,21,48,17,22,3,9
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,FileDescriptorCast.2.new FileDescriptorCast.CastingProvider() {...},7,6,0,0,1,1,1,1,1,1
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,FileDescriptorCast.2.new FileDescriptorCast.CastingProvider() {...},0,12,0,0,0,2,0,2,0,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSocketImpl.AFSocketStreamCore,12,85,2,8,7,25,2,8,0,5
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,FileDescriptorCast.2.new FileDescriptorCast.CastingProvider() {...},0,12,0,0,0,2,0,2,0,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,FileDescriptorCast.2.new FileDescriptorCast.CastingProvider() {...},6,22,2,2,1,5,2,2,0,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,PathUtil,9,14,2,2,3,3,3,1,1,1
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,FileDescriptorCast.2.new FileDescriptorCast.CastingProvider() {...},3,6,0,0,1,1,1,1,1,1
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFTIPCSocketAddress.new AFSocketAddressConfig() {...},6,32,1,1,1,7,2,4,1,4
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,FileDescriptorCast.LenientFileInputStream,19,0,2,0,8,0,3,0,2,0
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFUNIXSocketFactory,3,6,0,0,1,3,1,2,1,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,DatagramSocketImplShim,53,3,8,0,15,2,7,1,3,1
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,FileDescriptorCast.2.new FileDescriptorCast.CastingProvider() {...},7,14,1,1,1,4,1,2,0,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,BrokenPipeSocketException,7,0,0,0,4,0,2,0,2,0
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFUNIXSocketFactory.FactoryArg,0,28,0,0,0,9,0,3,0,3
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSYSTEMSocketAddress.SysAddr,4,27,0,0,2,4,1,3,1,3
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFDatagramSocketImpl,194,413,18,28,53,108,31,29,14,23
