GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketImpl.AFUNIXInputStream,14,102,7,11,4,27,7,7,0,5
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketImpl.AFUNIXOutputStream,23,101,7,11,7,28,7,6,0,4
junixsocket-common,org.newsclub.net.unix,AFUNIXServerSocket,90,124,13,15,24,37,17,13,7,9
junixsocket-common,org.newsclub.net.unix,AFUNIXServerSocket.new AFUNIXServerSocket() {...},12,0,0,0,3,0,2,0,2,0
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketFactory.SystemProperty,28,0,4,0,6,0,4,0,2,0
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketImpl.Lenient,14,13,3,1,6,7,3,2,1,2
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketFactory.URIScheme,109,0,18,0,25,0,13,0,4,0
junixsocket-common,org.newsclub.net.unix,NativeLibraryLoader.ClasspathLibraryCandidate,28,71,2,4,6,19,3,4,1,3
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketImpl,367,617,49,58,81,168,51,44,12,27
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketAddress,163,34,15,3,27,11,15,5,7,4
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketFactory.DefaultSocketHostnameSocketFactory,8,0,0,0,2,0,2,0,2,0
junixsocket-common,org.newsclub.net.unix,NativeLibraryLoader,143,394,18,20,34,72,16,16,1,12
junixsocket-common,org.newsclub.net.unix,NativeLibraryLoader.LibraryCandidate,15,6,0,0,1,3,1,1,1,1
junixsocket-common,org.newsclub.net.unix,Closeables.HardReference,10,0,0,0,4,0,2,0,2,0
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketImpl.new Closeable() {...},0,17,0,0,0,3,0,2,0,2
junixsocket-common,org.newsclub.net.unix,NativeLibraryLoader.StandardLibraryCandidate,37,0,4,0,8,0,6,0,4,0
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketFactory,114,0,22,0,27,0,19,0,8,0
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketCredentials,249,70,32,8,51,20,28,5,8,5
junixsocket-common,org.newsclub.net.unix,NativeUnixSocket,18,32,0,2,7,11,2,4,2,3
junixsocket-common,org.newsclub.net.unix,AFUNIXSocket,180,165,21,17,44,53,24,23,9,19
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketCapability,0,61,0,0,0,9,0,3,0,3
junixsocket-common,org.newsclub.net.unix,AFUNIXSocketFactory.FactoryArg,32,0,0,0,9,0,3,0,3,0
junixsocket-common,org.newsclub.net.unix,Closeables,141,11,26,2,37,6,19,2,5,2
