GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junixsocket-darwin,org.newsclub.net.unix.darwin.system,WellKnownKernelControlNames,0,175,0,0,0,28,0,3,0,3
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMSelectorProvider.new AFAddressFamilyConfig() {...},2,19,0,0,1,9,1,9,1,9
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMSocketFactory,15,0,0,0,5,0,4,0,4,0
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMServerSocketChannel,8,0,0,0,3,0,2,0,2,0
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMProtocolFamily,9,0,0,0,2,0,1,0,1,0
junixsocket-darwin,org.newsclub.net.unix.darwin.system,IPUtil,87,65,1,5,22,14,5,4,4,2
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMSelectorProvider,56,14,0,0,15,4,15,2,15,2
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMDatagramSocketImpl,0,6,0,0,0,2,0,1,0,1
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMSocketImpl,14,0,0,0,5,0,3,0,3,0
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMDatagramChannel,7,5,0,0,2,2,2,1,2,1
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMSocket,73,3,6,0,17,1,13,1,10,1
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMSocketOptions,6,0,0,0,2,0,1,0,1,0
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMServerSocket,51,0,0,0,12,0,11,0,11,0
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMDatagramSocket,20,33,0,0,4,8,4,6,4,6
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMSocketPair,11,0,0,0,4,0,3,0,3,0
junixsocket-darwin,org.newsclub.net.unix.darwin.system,AFSYSTEMSocketChannel,5,0,0,0,2,0,1,0,1,0
