GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junixsocket-ssl,org.newsclub.net.unix.ssl,BuilderSSLServerSocketFactory,27,30,0,0,3,9,3,5,3,5
junixsocket-ssl,org.newsclub.net.unix.ssl,BuilderSSLSocketFactory,0,138,0,0,0,24,0,12,0,12
junixsocket-ssl,org.newsclub.net.unix.ssl,CallbackSNIMatcher,0,23,0,0,0,7,0,2,0,2
junixsocket-ssl,org.newsclub.net.unix.ssl,SSLParametersUtil,0,69,0,0,0,16,0,5,0,5
junixsocket-ssl,org.newsclub.net.unix.ssl,BuilderSSLContext,25,21,4,0,9,6,2,2,0,2
junixsocket-ssl,org.newsclub.net.unix.ssl,SNIHostnameCapture,14,148,6,16,5,40,5,18,0,12
junixsocket-ssl,org.newsclub.net.unix.ssl,FilterX509TrustManager,0,50,0,0,0,18,0,4,0,4
junixsocket-ssl,org.newsclub.net.unix.ssl,BuilderSSLSocket.new FilterInputStream() {...},1,11,0,0,1,4,0,2,0,2
junixsocket-ssl,org.newsclub.net.unix.ssl,BuilderSSLSocket.new FilterOutputStream() {...},0,12,0,0,0,5,0,2,0,2
junixsocket-ssl,org.newsclub.net.unix.ssl,BuilderSSLContext.ConfiguredSSLContextSpi,0,92,0,2,0,23,0,10,0,9
junixsocket-ssl,org.newsclub.net.unix.ssl,IgnorantX509TrustManager,0,14,0,0,0,6,0,5,0,5
junixsocket-ssl,org.newsclub.net.unix.ssl,ValidatingX509TrustManager,0,25,0,2,0,6,0,4,0,3
junixsocket-ssl,org.newsclub.net.unix.ssl,SSLContextBuilder,262,464,39,47,59,132,32,46,7,28
junixsocket-ssl,org.newsclub.net.unix.ssl,SNIHostnameCapture.new SNIMatcher() {...},1,10,1,1,0,2,1,2,0,2
junixsocket-ssl,org.newsclub.net.unix.ssl,BuilderSSLSocket,18,28,4,0,9,9,2,4,0,4
