GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKServerSocket,51,0,0,0,12,0,11,0,11,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKProxyServerSocketConnector.new AFServerSocketConnector() {...},6,0,0,0,2,0,2,0,2,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSocketChannel,3,5,0,0,1,2,1,1,1,1
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKProxySocketConnector,152,0,24,0,35,0,17,0,5,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKProtocolFamily,15,0,0,0,5,0,4,0,4,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSocketPair,11,0,0,0,4,0,3,0,3,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSocketOptions,10,0,0,0,3,0,2,0,2,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSocketImpl,9,5,0,0,3,2,2,1,2,1
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKServerSocketChannel,8,0,0,0,3,0,2,0,2,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKDatagramSocketImpl,6,0,0,0,2,0,1,0,1,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSelectorProvider,56,14,0,0,15,4,15,2,15,2
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKProxySocketConnector.new AFSocketConnector() {...},6,0,0,0,2,0,2,0,2,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSocketFactory.FixedAddress,15,0,0,0,6,0,3,0,3,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKProxyServerSocketConnector,54,0,6,0,12,0,8,0,5,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSocket,46,33,5,1,10,9,10,5,7,5
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSelectorProvider.new AFAddressFamilyConfig() {...},2,19,0,0,1,9,1,9,1,9
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKDatagramSocket,42,0,0,0,10,0,8,0,8,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKDatagramChannel,12,0,0,0,4,0,3,0,3,0
junixsocket-vsock,org.newsclub.net.unix.vsock,AFVSOCKSocketFactory,16,0,0,0,5,0,4,0,4,0
